title,title_matched,authors,authors_matched,date,date_matched,isbn,isbn_matched,pages,pages_matched,description,description_matched,publisher,publisher_matched,keywords,keywords_matched,binding,barcode,value,status,image,percent,source
The Tomb of God,The Tomb of God,. R. & Schellenberger Andrews,"Richard Andrews, Paul Schellenberger",1996,1996,0316879975,"0316879975, 9780316879972",513,513,"A solution to a 2,000 year old mysrery","Dissatisfied with the explanations of previous researchers, the authors of this book applied mathematical logic to the enduring mystery of Rennes-le-Château and the treasure alleged to be buried there. This is the story of their search.","Little, Brown & Co.",,Jesus,Aude (France),Hardback,100035,,Lending,http://books.google.com/books/content?id=2aK0GwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Critiques of God,Critiques of God,Peter (ed) Angeles,Peter Adam Angeles,1976,1976,0879750782,"UOM:39076005283077, 0879750782",371,402,A collection of essays by different authors,,Prometheus Books,,Essays / God,Philosophy,Paperback,100035,,Lending,http://books.google.com/books/content?id=iTImAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Problem of God: A Short Introduction,The Problem of God,Peter A Angeles,Peter Adam Angeles,1980,January 1981,0879752165,0879752165,156,156,,A Short Introduction,Prometheus Books,Prometheus Books,Atheism,,Paperback,100036,,Lending,https://covers.openlibrary.org/b/id/11718069-S.jpg,101,ISBN
Aristotle: Selections from Nicomachean Ethics Politics,Aristotle,Aristotle,Aristotle,2004,2004,1904919111,"1904919111, 9781904919117",,344,,"Each volume in this series has a full Introduction, including biographical details and a further reading list.",The Collector's Library of Essential Thinkers,Collector's Library,Philosophy,Ethics,,106436,,Lending,http://books.google.com/books/content?id=2AhJNwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Ideas that changed the world,Ideas That Changed the World,Felipe Armesto,Dr. Felipe Fernandez-Armesto,2003,2003-09-25,0751344141,0751344141,,,,,Dorling Kindersley Limited,DK,History/Philosophy,,,106102,,Lending,,101,ISBN
The Battle for God,The Battle for God,Karen Armstrong,Karen Armstrong,2001,2001,0006383483,"9780006383482, 0006383483",,460,"Fundamentalism in Judaism, Christianity and Islam",One of the most potent forces bedevilling the modern world is religious fundamentalism. Armstrong explains how and why fundamentalists' understanding of religion and society differs so starkly from that of their contemporaries.,HarperCollins,HarperCollins UK,Fundamentalism,History,,106329,,Lending,http://books.google.com/books/content?id=xMdqIjHElw4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
In the Beginning: A new interpretation of Genesis,In the Beginning,Karen Armstrong,Karen Armstrong,1996,1997-10-07,0345406044,"9780345406040, 0345406044",,211,,"“Karen Armstrong is a genius.”—A. N. Wilson As the foundation stone of the Jewish and Christian scriptures, The Book of Genesis unfolds some of the most arresting stories of world literature—the Creation; Adam and Eve; Cain and Abel; the sacrifice of Isaac. Yet the meaning of Genesis remains enigmatic. In this fascinating volume, Karen Armstrong, author of the highly acclaimed bestseller A History of God, brilliantly illuminates the mysteries and profundities of this mystifying work. “A lyrical chronicle of one woman's wrestling with Genesis that can serve as a guide to others . . . As notable for its scholarship as it is for its honesty and vulnerability.”—Publishers Weekly “Armstrong can simplify complex ideas, but she is never simplistic.”—The New York Times Book Review",Ballantine Books,Ballantine Books,Religious History,Religion,,106240,,Lending,http://books.google.com/books/content?id=CCiODQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
A short history of Myth,A Short History of Myth,Karen Armstrong,Karen Armstrong,2005,2005,1841956449,"UOM:39015066864615, 1841956449",,176,,"Heralding a major series of retellings of international myths by authors from around the world, Armstrong's characteristically insightful and eloquent book serves as a brilliant and thought-provoking introduction to myth in the broadest sense.",Canongate,Canongate Books Limited,Mythology,Social Science,,106204,,Lending,http://books.google.com/books/content?id=oTEKAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Beginning the World,Beginningthe world,Karen Armstrong,Karen Armstrong,1983,1984,0330284096,0330284096,243,242,A former nun story of her life,a sequel to Through the narrow gate,Pan,Pan in association with Macmillan,Autobiography,,Paperback,100048,,Lending,,101,ISBN
A History of God,A History of God,Karen Armstrong,Karen Armstrong,1994,1994,0749306920,"0749306920, 9780749306922",511,511,A biography of belief,"The idea of a single divine being - God, Yahweh, Allah - has existed for over 4000 years, but the history of God is also the history of human struggle. While Judaism, Islam and Christianity proclaim the goodness of God, organized religion has too often been the catalyst for violence and ineradicable prejudice. This controversial account of the evolution of belief examines Western society's unerring fidelity to the idea of One God and the many conflicting convictions it engenders.",Mandarin,,Religious History,God,Paperback,101959,,Reference,http://books.google.com/books/content?id=ilSEYgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
A History of God,A History of God,Karen Armstrong,Karen Armstrong,1994,1994,0749306920,"0749306920, 9780749306922",,511,A biography of belief,"The idea of a single divine being - God, Yahweh, Allah - has existed for over 4000 years, but the history of God is also the history of human struggle. While Judaism, Islam and Christianity proclaim the goodness of God, organized religion has too often been the catalyst for violence and ineradicable prejudice. This controversial account of the evolution of belief examines Western society's unerring fidelity to the idea of One God and the many conflicting convictions it engenders.",Mandarin,,Religious History,God,,106379,,Lending,http://books.google.com/books/content?id=ilSEYgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Through the Narrow Gate: A Nun's Story,Through the Narrow Gate,Karen Armstrong,Karen Armstrong,1981,1982,0330266640,"0330266640, 9780330266642",284,285,,,Macmillan,,Autobiography,Christian life,Paperback,100053,,Lending,,101,ISBN
The Case for God,The Case for God,Karen Armstrong,Karen Armstrong,2009,2009,9781847920355,"1847920357, 9781847920355",,376,,"A nuanced exploration of the part that religion plays in human life, drawing on the insights of the past in order to build a faith that speaks to the needs of our dangerously polarized age. Moving from the Paleolithic age to the present, Karen Armstrong details the great lengths to which humankind has gone in order to experience a sacred reality that it called by many names, such as God, Brahman, Nirvana, Allah, or Dao. Focusing especially on Christianity but including Judaism, Islam, Buddhism, Hinduism, and Chinese spiritualities, Armstrong examines the diminished impulse toward religion in our own time, when a significant number of people either want nothing to do with God or question the efficacy of faith. Why has God become unbelievable? Why is it that atheists and theists alike now think and speak about God in a way that veers so profoundly from the thinking of our ancestors? Answering these questions with the same depth of knowledge and profound insight that have marked all her acclaimed books, Armstrong makes clear how the changing face of the world has necessarily changed the importance of religion at both the societal and the individual level. Yet she cautions us that religion was never supposed to provide answers that lie within the competence of human reason; that, she says, is the role of ""logos."" The task of religion is ""to help us live creatively, peacefully, and even joyously with realities for which there are no easy explanations."" She emphasizes, too, that religion will not work automatically. It is, she says, a practical discipline: its insights are derived not from abstract speculation but from ""dedicated intellectual endeavor"" and a ""compassionate lifestyle that enables us to break out of the prism of selfhood.""",The Bodley Head,Jonathan Cape,Theology,Atheism,,106393,,Lending,http://books.google.com/books/content?id=5ng0PQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Visual Encyclopedia of Science Fiction,Visual Encyclopedia of Science Fiction,Brian [Ed] Ash,Brian Ed Ash,1977,"Dec 31, 1977",0330252755,0330252755,,352,,,Pan,Pan Books Ltd,Science,,,106024,,Lending,https://covers.openlibrary.org/b/id/10531370-S.jpg,101,ISBN
Asimov's Guide to the Bible,Asimov's Guide to the Bible,Isaac Asimov,Isaac Asimov,1981,1981,051734582X,051734582X,,1295,Two Volumes in one: The old and new testament,the Old and New Testaments,Avenel Books,Avenel Books Distributed by Crown Publishers,Bible,,,106053,,Lending,https://covers.openlibrary.org/b/id/6601103-S.jpg,101,ISBN
Asimov's New Guide to Science,Asimov's New Guide to Science,Isaac Asimov,Isaac Asimov,1985,1985,0670803472,"0140076212, 9780140076219, 0670803472",940,940,,,Viking,,Science,Science,Hardback,100058,,Lending,,101,ISBN
Asimov's Guide to the Bible,Asimov's Guide to the Bible,Issac Asimov,Isaac Asimov,1981,1981,051734582X,051734582X,1295,1295,,the Old and New Testaments,Wings Books,Avenel Books Distributed by Crown Publishers,Bible,,Hardback,100062,,Lending,https://covers.openlibrary.org/b/id/6601103-S.jpg,101,ISBN
Life on Earth,Life on Earth,David Attenborough,David Attenborough,1979,1979,0002190915,"0002190915, 9780002190916",319,326,,,Collins / British Broadcasting Corporation,,Biology,Science,Hardback,102599,4,Lending,http://books.google.com/books/content?id=OjW-veOxad0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Living Planet,The Living Planet,David Attenborough,David Attenborough,1985,1984,0002191393,"UVA:X000787274, 0002191393",320,328,,Volcanoes - Antarctica - The Frozen world - Arctic - Tundra - Jungle - Forest - Baking deserts - Fresh water animals - Rivers - Evolution; Ocean - Camouflage - Water conservation - Marine animals and plants___,Collins & BBC,,Biology,Science,Hardback,100063,29.95,Lending,http://books.google.com/books/content?id=pOpGAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Trials of Life,The Trials of Life,David Attenborough,David Attenborough,1990,1990-01,0002199122,"0002199122, 9780002199124",320,320,,This book examines how animals use their bodies-how they behave and why. Each chapter looks at a different stage in the life of animals.,Collins & BBC,HarperCollins,Biology,Animal Behaviour,Hardback,100065,,Lending,,101,ISBN
The Meaning of Life,The Meaning of Life,A J. Ayer,Alfred Jules Ayer,1990,1990,0684191954,"0684191954, 9780684191959",,212,"Essays by the author of Language, Truth and Logic",Essays and lectures from each portion of the author's career as a philospher cover his views on logical positivism,Charles Scribner's Sons,Scribner,Philosophy,Philosophy,,106269,,Lending,,101,ISBN
The Meaning of Life,The Meaning of Life,A.J. Ayer,Alfred Jules Ayer,1988,1988,0902368141,"UVA:X001560337, 0902368141",33,42,,,South Place Ethical Society,,Humanism,Philosophy,Paperback,100072,,Lending,http://books.google.com/books/content?id=HQUMAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Meaning of Life,The Meaning of Life,A.J. Ayer,Alfred Jules Ayer,1988,1988,0902368141,"UVA:X001560337, 0902368141",33,42,,,South Place Ethical Society,,Humanism,Philosophy,Paperback,100426,,Reference,http://books.google.com/books/content?id=HQUMAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Philosophical Essays,Philosophical Essays,A.J. Ayer,Alfred Jules Ayer,1980,1980,0313209022,"UVA:X000863851, 0313209022",289,312,,"This great new series provides 10 or your favorite songs, all in professionally arranged TAB format for just $10.00. New Rock Guitar TAB features 10 huge hits from today’s modern rock stars. Titles: Going Under (Evanescence) * Paralyzer (Finger Eleven) * American Idiot (Green Day) * The Reason (Hoobastank) * How You Remind Me (Nickelback) * Misery Business (Paramore) * Broken (Seether featuring Amy Lee) * Headstrong (Trapt) * New Shoes (Paolo Nutini) * New Soul (Yael Naim).",Greenwood Press,Praeger,Philosophy,Philosophy,Hardback,100070,,Lending,http://books.google.com/books/content?id=vy8qAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Thomas Paine,Thomas Paine,A.J. Ayer,Alfred Jules Ayer,1988,1988,0436028204,"UOM:39015013322691, 0436028204",194,232,,Leven en werk van de Amerikaanse politicus en publicist (1737-1808) van Engelse afkomst,Secker & Warburg,Harvill Secker,Biography,Biography & Autobiography,Hardback,100427,,Lending,http://books.google.com/books/content?id=YqSHAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Eternal Message of Muhammed,The Eternal Message of Muhammad,Abd-al-Rahman Azzam,"Abdel Rahman ʻAzzām, ʻAbd al-Raḥmān ʻAzzām",1979,1979,0704332035,"0704332035, 9780704332034",297,297,,,Quartet Books,Quartet Books (UK),Islam,Islam,Paperback,100428,,Lending,,101,ISBN
Leaving the Fold: Testimonies of Former Fundamentalists,Leaving the Fold,Edward T Babinski,Edward T. Babinski,1995,1995,0879759070,"UOM:49015002552512, 0879759070",462,472,,"This riveting new collection offers testimonies of former fundamentalists who became disillusioned with their churches and left. Presenting more than two dozen personal journeys, this book gives a clear picture of what attracts a person to the fundamentalist faith and what can drive believers away from their religion. Photos throughout.",Prometheus,,Fundamentalism,Fiction,Hardback,100429,,Lending,http://books.google.com/books/content?id=8p8NAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
"Crimes and Mercies: The Fate of German Civilians Under Allied Occupation, 1944-1950",Crimes and Mercies,James Bacque,James Bacque,1997,1997,0751522775,"0751522775, 9780751522778",288,288,,"For Germany, the end of World War II occurred officially on 8th May 1945; but the end of suffering did not. Using recently released documents from the USA and detailed research in the Moscow archives, the author shows how millions of Germans died unnecessarily - from starvation, disease and forced homelessness. The Red Army in the east took revenge for the crimes of the Nazis, as did the French and Americans in the west. The governments responsible have never acknowledged any mass deaths. Bacque argues that the Allies came not as liberators and rescuers, but as judges and avengers.",Warner Books,London : Warner Books,History / Germany,History,Paperback,100435,12,Lending,,101,ISBN
The Messianic Legacy,The Messianic Legacy,Leigh & Lincoln Baigent,"Michael Baigent, Richard Leigh, Henry Lincoln",1986,1988-02,0552131822,"0552131822, 9780552131827",500,500,,"Hailed as ""one of the more controversial books of the 20th century,"" (UPI) Holy Blood, Holy Grail rocked the very foundation of Christianity. Now four more years of research have uncovered shocking material -- and its earthshaking consequences... Here is the book that reveals the answers to these intriguing, potentially explosive questions. Utilizing the same meticulous research that catapulted their first book onto the bestseller lists, the authors again bring an enlightening message of truth -- and urgent importance -- to Christians and non-Christians the world over. Book jacket.",Corgi Books,Corgi Books,Messianism,Christianity,Paperback,100434,,Lending,,101,ISBN
The Messianic Legacy,The Messianic Legacy,Leigh & Lincoln Baigent,"Michael Baigent, Richard Leigh, Henry Lincoln",1986,1986,0224021850,"UVA:X001107841, 0224021850",364,416,,,Corgi Books,Random House (UK),Messianism,Religion,Hardback,100985,,Reference,http://books.google.com/books/content?id=Za4oAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Holy blood and the holy grail,The Holy Blood and the Holy Grail,"M. Baigent, R.  Leigh, H.  Lincoln","Michael Baigent, Richard Leigh, Henry Lincoln",2005,2005,1844138402,"IND:30000122459757, 1844138402",,520,,"A Nineteenth-Century French Priest Discovers Something In His Mountain Village At The Foot Of The Pyrenees, Which Enabled Him To Amass And Spend A Fortune Of Millions Of Pounds. The Tale Seems To Begin With Buried Treasure And Then Turns Into An Unprecedented Historical Detective Story - A Modern Grail Quest Leading Back Through Cryptically Coded Parchments, Secret Societies, The Knights Templar, The Cathar Heretics Of The Twelfth And Thirteenth Centuries And A Dynasty Of Obscure French Kings Deposed More Than 1,300 Years Ago. The Author'S Conclusions Are Persuasive At The Core Is Not Material Riches But A Secret - A Secret Of Explosive And Controversial Proportions, Which Radiates Out From The Little Pyrenees Village To Encompass The Whole Of Western Civilization. Its Repercussions Stretch All The Way To Contemporary Politics And The Entire Edifice Of The Christian Faith. It Involves Nothing Less Than The Holy Grail.",Century,Vintage,History,History,,104930,,Lending,http://books.google.com/books/content?id=LvTZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Mad Man in Waco,Mad man in Waco,"Bailey, Darden",Brad Bailey,1993,1993,1567960278,1567960278,284,284,,,WRS Publishing,WRS Pub.,Cults,,Paperback,102928,,Lending,https://covers.openlibrary.org/b/id/810294-S.jpg,101,ISBN
Global Warming and Other Eco-Myths: How the Environmental Movement Uses False Science to Scare Us to Death,Global warming and other eco-myths,Ronald (ed) Bailey,,2002,2002,0761536604,0761536604,423,423,,how the environmental movement uses false science to scare us to death,Forum,Prima,Deep Ecology / Environmentalism,,Hardback,100437,54.95,Lending,https://covers.openlibrary.org/b/id/8185707-S.jpg,101,ISBN
Genetic Engineering for Almost Everybody,Genetic engineering for almost everybody,William Bains,William Bains,1987,1987,0140227407,0140227407,214,214,,,Penguin,Penguin,Genetic Engineering,,Paperback,100438,,Lending,,101,ISBN
Euthanasia: The Moral Issues,Euthanasia,Stuart (eds) Robert & Rosenbaum Baird,,1989,1989,0879755555,0879755555,216,182,,the moral issues,Prometheus Books,Prometheus Books,Euthanasia / Ethics,,Paperback,100714,,Lending,https://covers.openlibrary.org/b/id/675865-S.jpg,101,ISBN
"Hatred, Bigotry, & Prejudice: Definitions, Causes, and Solutions","Hatred, Bigotry, and Prejudice - Definitions, Causes & Solutions (Contemporary Issues)",Stuart (edS) Robert & Rosenbaum Baird,,1999,October 1999,1573927481,1573927481,288,290,,,Prometheus Books,Prometheus Books,Politics / Hate,,Paperback,100441,16.11,Lending,https://covers.openlibrary.org/b/id/10129684-S.jpg,101,ISBN
The Messianic Legacy,The Messianic Legacy,"M. Baigent, R.  Leigh, H.  Lincoln","Michael Baigent, Richard Leigh, Henry Lincoln",1987,1988-02,0552131822,"0552131822, 9780552131827",,500,,"Hailed as ""one of the more controversial books of the 20th century,"" (UPI) Holy Blood, Holy Grail rocked the very foundation of Christianity. Now four more years of research have uncovered shocking material -- and its earthshaking consequences... Here is the book that reveals the answers to these intriguing, potentially explosive questions. Utilizing the same meticulous research that catapulted their first book onto the bestseller lists, the authors again bring an enlightening message of truth -- and urgent importance -- to Christians and non-Christians the world over. Book jacket.",Corgi Books,Corgi Books,Christianity,Christianity,,106028,,Lending,,101,ISBN
The Jesus papers,The Jesus Papers,Michael Baigent,Michael Baigent,2006,2006,0007241224,"0007241224, 9780007241224",,321,Exposing the greatest cover-up in history,"What if everything you think you know about Jesus is wrong? In The Jesus Papers, Michael Baigent reveals the truth about Jesus's life and tackles controversial questions, such as whether or not there is incontrovertible proof that Jesus Christ survived the crucifixion. Twenty years ago Michael Baigent and his colleagues stunned the world with a controversial theory that Jesus Christ and Mary Magdalene married and founded a holy bloodline. His bestselling book Holy Blood, Holy Grail (with co-authors Henry Lincoln and Richard Leigh) became an international publishing phenomenon and was one of the sources for Dan Brown's novel The Da Vinci Code. Now, with two additional decades of research behind him, Baigent's The Jesus Papers presents explosive new evidence that challenges everything we know about the life and death of Jesus. Who could have aided and abetted Jesus and why? Where could Jesus have done after the crucifixion? What is the truth behind the creation of the New Testament? Who is working to keep the truth buried and why? explored, studied, and in some instances excavated for the first time, Baigent provides a detailed account of his groundbreaking discoveries, including many never-before-seen photos.",Harper Element,HarperThorsons,Christianity,Christianity,,106293,,Lending,http://books.google.com/books/content?id=KzFUAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Cambridge guide to theatre,The Cambridge Guide to Theatre,Martin Banham,Martin Banham,1988,1995-09-21,0521434378,"0521434378, 9780521434379",,1268,,Provides information on the history and present practice of theater in the world.,Cambridge University Press,Cambridge University Press,Theatre / Entertainment,Drama,,106215,,Lending,http://books.google.com/books/content?id=8qMTPAPFGXUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,101,ISBN
The Peril of Faith,The Peril of Faith,Martin L Bard,Martin L. Bard,1990,1989-12,0910309647,"0910309647, 9780910309646",175,175,,,Gustav Broukal Press,G Broukal Press,Religion / Atheism,Religion,Paperback,100448,,Lending,,101,ISBN
The Myth of Goddess: Evolution of an image,The Myth of the Goddess,"Anne Baring, Jules  Cashford","Jules Cashford, Anne Baring",1993,1993-06-01,0140192921,"9780140192926, 0140192921",,0,,"""An indispensable source work for anyone interested in this very important development of religious ideas.""—Marija Gimbutas. Ranges from the Paleolithic Age to the present-day Gaia Hypothesis.",Arkana Penguin Books,National Geographic Books,Goddess,Fiction,,106107,,Lending,http://books.google.com/books/content?id=fHuMEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Good Life Good Death: A Doctor's Case for Euthanasia and Suicide,Good Life Good Death,Christiaan Barnard,Christiaan Barnard,1980,1980,0133603709,"UOM:39015000295009, 0133603709",146,164,,"A strong advocate of euthanasia, the world-reowned heart surgeon explains his views on the patient's right to die, cloning, freezing bodies, and recombinant DNA and RNA research.",Prentice Hall,Prentice Hall,Euthanasia / Suicide,Medical,Hardback,100449,,Lending,http://books.google.com/books/content?id=ORlrAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Jim and Tammy: Charismatic Intrique Inside PTL,Jim and Tammy,Joe E. Barnhart,"Joe E. Barnhart, Stephen Winzenburg",1988,1988,0879754605,"WISC:89065271082, 0879754605",266,290,,,Prometheus Books,,Pentecostalism,Biography & Autobiography,Hardback,100451,,Lending,http://books.google.com/books/content?id=MPrbAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Gnostic Bible,The Gnostic Bible,"Willis Barnstone, Marvin  Meyer, ","Willis Barnstone, Marvin W. Meyer",2006,2006,1590301994,"9781590301999, 1590301994",,874,"Gnostic Texts of Mystical wisdom from the ancient and medieval worlds – Pagan, Jewish, Christian, Mandaen, Manichaean, Islamic and Cathar","The most comprehensive collection of gnostic literature ever published, this volume is the result of a unique collaboration between a renowned poet-translator and a leading scholar of early Christian texts.",New Seeds,Shambhala Publications,Gnosticism,Religion,,106397,,Lending,http://books.google.com/books/content?id=MImaI4bS6-0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,101,ISBN
The Health Robbers,The Health robbers,"Stephen & Jarvis, Barrett",,1993,1993,0879758554,0879758554,526,526,A close look at quackery in America,a close look at quackery in America,Prometheus Books,Prometheus Books,Pseudoscience,,Hardback,100796,25.95,Lending,https://covers.openlibrary.org/b/id/676000-S.jpg,101,ISBN
Beyond Fundamentalism,Beyond Fundamentalism,James Barr.,James Barr,1984,1984-01-01,0664246206,"0664246206, 9780664246204",,195,Bibical foundations for Evangelical Christianity,Examines the fundamentalist Christians' interpretation of the Bible and analyzes the use of the Bible as an authority for fundamentalism,Westminster Press phlidalphea,Westminster John Knox Press,Theology,Religion,,106088,,Lending,http://books.google.com/books/content?id=CnCAQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Independent Spirits: Spiritualism and Enlish Plebians 1850-1910,Independent Spirits,Logie Barrow,Logie Barrow,1986,1986-01-01,0710208154,"0710208154, 9780710208156",338,338,,Soziologie / England.,Routledge & Kegan Paul,Routledge,History / Spiritualism,England,Paperback,101657,,Lending,http://books.google.com/books/content?id=zDgOAAAAQAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
